time_s,input_V,output_V
0.000000000000e+00,-1.000000000000e+00,-7.236856811293e+04
1.000000000000e-11,-1.000000000000e+00,-7.236856811293e+04
2.000000000000e-11,-1.000000000000e+00,-7.236856811293e+04
3.000000000000e-11,-1.000000000000e+00,-7.236856811293e+04
4.000000000000e-11,-1.000000000000e+00,-7.236856811293e+04
5.000000000000e-11,-1.000000000000e+00,-7.236856811293e+04
6.000000000000e-11,-1.000000000000e+00,-7.236856811293e+04
7.000000000000e-11,-1.000000000000e+00,-7.236856811293e+04
8.000000000000e-11,-1.000000000000e+00,-7.236856811293e+04
9.000000000000e-11,-1.000000000000e+00,-7.236856811293e+04
1.000000000000e-10,-1.000000000000e+00,-7.236856811293e+04
1.100000000000e-10,-1.000000000000e+00,-7.236856811293e+04
1.200000000000e-10,-1.000000000000e+00,-7.236856811293e+04
1.300000000000e-10,-1.000000000000e+00,-7.236856811293e+04
1.400000000000e-10,-1.000000000000e+00,-7.236856811293e+04
1.500000000000e-10,-1.000000000000e+00,-7.236856811293e+04
1.600000000000e-10,-1.000000000000e+00,-7.236856811293e+04
1.700000000000e-10,-1.000000000000e+00,-7.236856811293e+04
1.800000000000e-10,-1.000000000000e+00,-7.236856811293e+04
1.900000000000e-10,-1.000000000000e+00,-7.236856811293e+04
2.000000000000e-10,-1.000000000000e+00,-7.236856811293e+04
2.100000000000e-10,-1.000000000000e+00,-7.236856811293e+04
2.200000000000e-10,-1.000000000000e+00,-7.236856811293e+04
2.300000000000e-10,-1.000000000000e+00,-7.236856811293e+04
2.400000000000e-10,-1.000000000000e+00,-7.236856811293e+04
2.500000000000e-10,-1.000000000000e+00,-7.236856811292e+04
2.600000000000e-10,-1.000000000000e+00,-7.236856811292e+04
2.700000000000e-10,-1.000000000000e+00,-7.236856811292e+04
2.800000000000e-10,-1.000000000000e+00,-7.236856811292e+04
2.900000000000e-10,-1.000000000000e+00,-7.236856811292e+04
3.000000000000e-10,-1.000000000000e+00,-7.236856811291e+04
3.100000000000e-10,-1.000000000000e+00,-7.236856811289e+04
3.200000000000e-10,-1.000000000000e+00,-7.236856811287e+04
3.300000000000e-10,-1.000000000000e+00,-7.236856811284e+04
3.400000000000e-10,-1.000000000000e+00,-7.236856811278e+04
3.500000000000e-10,-1.000000000000e+00,-7.236856811269e+04
3.600000000000e-10,-1.000000000000e+00,-7.236856811254e+04
3.700000000000e-10,-1.000000000000e+00,-7.236856811232e+04
3.800000000000e-10,-1.000000000000e+00,-7.236856811197e+04
3.900000000000e-10,-1.000000000000e+00,-7.236856811146e+04
4.000000000000e-10,-1.000000000000e+00,-7.236856811069e+04
4.100000000000e-10,-1.000000000000e+00,-7.236856810956e+04
4.200000000000e-10,-1.000000000000e+00,-7.236856810791e+04
4.300000000000e-10,-1.000000000000e+00,-7.236856810554e+04
4.400000000000e-10,-1.000000000000e+00,-7.236856810216e+04
4.500000000000e-10,-1.000000000000e+00,-7.236856809740e+04
4.600000000000e-10,-1.000000000000e+00,-7.236856809076e+04
4.700000000000e-10,-1.000000000000e+00,-7.236856808159e+04
4.800000000000e-10,-1.000000000000e+00,-7.236856806904e+04
4.900000000000e-10,-1.000000000000e+00,-7.236856805202e+04
5.000000000000e-10,-1.000000000000e+00,-7.236856802915e+04
5.100000000000e-10,-1.000000000000e+00,-7.236856799870e+04
5.200000000000e-10,-1.000000000000e+00,-7.236856795851e+04
5.300000000000e-10,-1.000000000000e+00,-7.236856790589e+04
5.400000000000e-10,-1.000000000000e+00,-7.236856783759e+04
5.500000000000e-10,-1.000000000000e+00,-7.236856774966e+04
5.600000000000e-10,-1.000000000000e+00,-7.236856763740e+04
5.700000000000e-10,-1.000000000000e+00,-7.236856749522e+04
5.800000000000e-10,-1.000000000000e+00,-7.236856731659e+04
5.900000000000e-10,-1.000000000000e+00,-7.236856709396e+04
6.000000000000e-10,-1.000000000000e+00,-7.236856681868e+04
6.100000000000e-10,-1.000000000000e+00,-7.236856648104e+04
6.200000000000e-10,-1.000000000000e+00,-7.236856607020e+04
6.300000000000e-10,-1.000000000000e+00,-7.236856557436e+04
6.400000000000e-10,-1.000000000000e+00,-7.236856498082e+04
6.500000000000e-10,-1.000000000000e+00,-7.236856427626e+04
6.600000000000e-10,-1.000000000000e+00,-7.236856344706e+04
6.700000000000e-10,-1.000000000000e+00,-7.236856247975e+04
6.800000000000e-10,-1.000000000000e+00,-7.236856136165e+04
6.900000000000e-10,-1.000000000000e+00,-7.236856008162e+04
7.000000000000e-10,-1.000000000000e+00,-7.236855863102e+04
7.100000000000e-10,-1.000000000000e+00,-7.236855700487e+04
7.200000000000e-10,-1.000000000000e+00,-7.236855520326e+04
7.300000000000e-10,-1.000000000000e+00,-7.236855323295e+04
7.400000000000e-10,-1.000000000000e+00,-7.236855110917e+04
7.500000000000e-10,-1.000000000000e+00,-7.236854885779e+04
7.600000000000e-10,-1.000000000000e+00,-7.236854651752e+04
7.700000000000e-10,-1.000000000000e+00,-7.236854414248e+04
7.800000000000e-10,-1.000000000000e+00,-7.236854180477e+04
7.900000000000e-10,-1.000000000000e+00,-7.236853959731e+04
8.000000000000e-10,-1.000000000000e+00,-7.236853763655e+04
8.100000000000e-10,-1.000000000000e+00,-7.236853606527e+04
8.200000000000e-10,-1.000000000000e+00,-7.236853505516e+04
8.300000000000e-10,-1.000000000000e+00,-7.236853480911e+04
8.400000000000e-10,-1.000000000000e+00,-7.236853556314e+04
8.500000000000e-10,-1.000000000000e+00,-7.236853758766e+04
8.600000000000e-10,-1.000000000000e+00,-7.236854118806e+04
8.700000000000e-10,-1.000000000000e+00,-7.236854670425e+04
8.800000000000e-10,-1.000000000000e+00,-7.236855450908e+04
8.900000000000e-10,-1.000000000000e+00,-7.236856500537e+04
9.000000000000e-10,-1.000000000000e+00,-7.236857862132e+04
9.100000000000e-10,-1.000000000000e+00,-7.236859580411e+04
9.200000000000e-10,-1.000000000000e+00,-7.236861701146e+04
9.300000000000e-10,-1.000000000000e+00,-7.236864270103e+04
9.400000000000e-10,-1.000000000000e+00,-7.236867331742e+04
9.500000000000e-10,-1.000000000000e+00,-7.236870927672e+04
9.600000000000e-10,-1.000000000000e+00,-7.236875094854e+04
9.700000000000e-10,-1.000000000000e+00,-7.236879863546e+04
9.800000000000e-10,-1.000000000000e+00,-7.236885255011e+04
9.900000000000e-10,-1.000000000000e+00,-7.236891278984e+04
1.000000000000e-09,-1.000000000000e+00,-7.236897930942e+04
1.010000000000e-09,-1.000000000000e+00,-7.236905189204e+04
1.020000000000e-09,-1.000000000000e+00,-7.236913011899e+04
1.030000000000e-09,-1.000000000000e+00,-7.236921333881e+04
1.040000000000e-09,-1.000000000000e+00,-7.236930063638e+04
1.050000000000e-09,-1.000000000000e+00,-7.236939080288e+04
1.060000000000e-09,-1.000000000000e+00,-7.236948230763e+04
1.070000000000e-09,-1.000000000000e+00,-7.236957327265e+04
1.080000000000e-09,-1.000000000000e+00,-7.236966145120e+04
1.090000000000e-09,-1.000000000000e+00,-7.236974421156e+04
1.100000000000e-09,-1.000000000000e+00,-7.236981852721e+04
1.110000000000e-09,-1.000000000000e+00,-7.236988097482e+04
1.120000000000e-09,-1.000000000000e+00,-7.236992774126e+04
1.130000000000e-09,-1.000000000000e+00,-7.236995464113e+04
1.140000000000e-09,-1.000000000000e+00,-7.236995714578e+04
1.150000000000e-09,-1.000000000000e+00,-7.236993042519e+04
1.160000000000e-09,-1.000000000000e+00,-7.236986940357e+04
1.170000000000e-09,-1.000000000000e+00,-7.236976882954e+04
1.180000000000e-09,-1.000000000000e+00,-7.236962336138e+04
1.190000000000e-09,-1.000000000000e+00,-7.236942766774e+04
1.200000000000e-09,-1.000000000000e+00,-7.236917654376e+04
1.210000000000e-09,-1.000000000000e+00,-7.236886504210e+04
1.220000000000e-09,-1.000000000000e+00,-7.236848861824e+04
1.230000000000e-09,-1.000000000000e+00,-7.236804328866e+04
1.240000000000e-09,-1.000000000000e+00,-7.236752580041e+04
1.250000000000e-09,-1.000000000000e+00,-7.236693380966e+04
1.260000000000e-09,-1.000000000000e+00,-7.236626606684e+04
1.270000000000e-09,-1.000000000000e+00,-7.236552260513e+04
1.280000000000e-09,-1.000000000000e+00,-7.236470492868e+04
1.290000000000e-09,-1.000000000000e+00,-7.236381619668e+04
1.300000000000e-09,1.000000000000e+00,7.237427482705e+04
1.310000000000e-09,1.000000000000e+00,7.237528870865e+04
1.320000000000e-09,1.000000000000e+00,7.237635255559e+04
1.330000000000e-09,1.000000000000e+00,7.237745499328e+04
1.340000000000e-09,1.000000000000e+00,7.237858229968e+04
1.350000000000e-09,1.000000000000e+00,7.237971834839e+04
1.360000000000e-09,1.000000000000e+00,7.238084459114e+04
1.370000000000e-09,1.000000000000e+00,7.238194008461e+04
1.380000000000e-09,1.000000000000e+00,7.238298156630e+04
1.390000000000e-09,1.000000000000e+00,7.238394358338e+04
1.400000000000e-09,1.000000000000e+00,7.238479867808e+04
1.410000000000e-09,1.000000000000e+00,7.238551763242e+04
1.420000000000e-09,1.000000000000e+00,7.238606977377e+04
1.430000000000e-09,1.000000000000e+00,7.238642334244e+04
1.440000000000e-09,1.000000000000e+00,7.238654592061e+04
1.450000000000e-09,1.000000000000e+00,7.238640492128e+04
1.460000000000e-09,1.000000000000e+00,7.238596813432e+04
1.470000000000e-09,1.000000000000e+00,7.238520432530e+04
1.480000000000e-09,1.000000000000e+00,7.238408388172e+04
1.490000000000e-09,1.000000000000e+00,7.238257949930e+04
1.500000000000e-09,-1.000000000000e+00,-7.235646932559e+04
1.510000000000e-09,-1.000000000000e+00,-7.235881065243e+04
1.520000000000e-09,-1.000000000000e+00,-7.236159670045e+04
1.530000000000e-09,-1.000000000000e+00,-7.236483819543e+04
1.540000000000e-09,-1.000000000000e+00,-7.236853986040e+04
1.550000000000e-09,-1.000000000000e+00,-7.237269970929e+04
1.560000000000e-09,-1.000000000000e+00,-7.237730838433e+04
1.570000000000e-09,-1.000000000000e+00,-7.238234855267e+04
1.580000000000e-09,-1.000000000000e+00,-7.238779437776e+04
1.590000000000e-09,-1.000000000000e+00,-7.239361108112e+04
1.600000000000e-09,1.000000000000e+00,7.233738161584e+04
1.610000000000e-09,1.000000000000e+00,7.233096480038e+04
1.620000000000e-09,1.000000000000e+00,7.232433780100e+04
1.630000000000e-09,1.000000000000e+00,7.231757321451e+04
1.640000000000e-09,1.000000000000e+00,7.231075290421e+04
1.650000000000e-09,1.000000000000e+00,7.230396760452e+04
1.660000000000e-09,1.000000000000e+00,7.229731635095e+04
1.670000000000e-09,1.000000000000e+00,7.229090573023e+04
1.680000000000e-09,1.000000000000e+00,7.228484894843e+04
1.690000000000e-09,1.000000000000e+00,7.227926471750e+04
1.700000000000e-09,1.000000000000e+00,7.227427596385e+04
1.710000000000e-09,1.000000000000e+00,7.227000836540e+04
1.720000000000e-09,1.000000000000e+00,7.226658872725e+04
1.730000000000e-09,1.000000000000e+00,7.226414320886e+04
1.740000000000e-09,1.000000000000e+00,7.226279541939e+04
1.750000000000e-09,1.000000000000e+00,7.226266440076e+04
1.760000000000e-09,1.000000000000e+00,7.226386252124e+04
1.770000000000e-09,1.000000000000e+00,7.226649330536e+04
1.780000000000e-09,1.000000000000e+00,7.227064922855e+04
1.790000000000e-09,1.000000000000e+00,7.227640950734e+04
1.800000000000e-09,-1.000000000000e+00,-7.245329830749e+04
1.810000000000e-09,-1.000000000000e+00,-7.244415554525e+04
1.820000000000e-09,-1.000000000000e+00,-7.243327178876e+04
1.830000000000e-09,-1.000000000000e+00,-7.242064185298e+04
1.840000000000e-09,-1.000000000000e+00,-7.240628371967e+04
1.850000000000e-09,-1.000000000000e+00,-7.239024003589e+04
1.860000000000e-09,-1.000000000000e+00,-7.237257936643e+04
1.870000000000e-09,-1.000000000000e+00,-7.235339716526e+04
1.880000000000e-09,-1.000000000000e+00,-7.233281643376e+04
1.890000000000e-09,-1.000000000000e+00,-7.231098803545e+04
1.900000000000e-09,-1.000000000000e+00,-7.228809064074e+04
1.910000000000e-09,-1.000000000000e+00,-7.226433027857e+04
1.920000000000e-09,-1.000000000000e+00,-7.223993947637e+04
1.930000000000e-09,-1.000000000000e+00,-7.221517597465e+04
1.940000000000e-09,-1.000000000000e+00,-7.219032100758e+04
1.950000000000e-09,-1.000000000000e+00,-7.216567714701e+04
1.960000000000e-09,-1.000000000000e+00,-7.214156571307e+04
1.970000000000e-09,-1.000000000000e+00,-7.211832376112e+04
1.980000000000e-09,-1.000000000000e+00,-7.209630066126e+04
1.990000000000e-09,-1.000000000000e+00,-7.207585429318e+04
2.000000000000e-09,-1.000000000000e+00,-7.205734688584e+04
2.010000000000e-09,-1.000000000000e+00,-7.204114053836e+04
2.020000000000e-09,-1.000000000000e+00,-7.202759246435e+04
2.030000000000e-09,-1.000000000000e+00,-7.201705000866e+04
2.040000000000e-09,-1.000000000000e+00,-7.200984549110e+04
2.050000000000e-09,-1.000000000000e+00,-7.200629093689e+04
2.060000000000e-09,-1.000000000000e+00,-7.200667275868e+04
2.070000000000e-09,-1.000000000000e+00,-7.201124645892e+04
2.080000000000e-09,-1.000000000000e+00,-7.202023142479e+04
2.090000000000e-09,-1.000000000000e+00,-7.203380589054e+04
2.100000000000e-09,1.000000000000e+00,7.268503408208e+04
2.110000000000e-09,1.000000000000e+00,7.266193417299e+04
2.120000000000e-09,1.000000000000e+00,7.263400323327e+04
2.130000000000e-09,1.000000000000e+00,7.260127198231e+04
2.140000000000e-09,1.000000000000e+00,7.256383228703e+04
2.150000000000e-09,1.000000000000e+00,7.252183959830e+04
2.160000000000e-09,1.000000000000e+00,7.247551470515e+04
2.170000000000e-09,1.000000000000e+00,7.242514474717e+04
2.180000000000e-09,1.000000000000e+00,7.237108343227e+04
2.190000000000e-09,1.000000000000e+00,7.231375041448e+04
2.200000000000e-09,1.000000000000e+00,7.225362979566e+04
2.210000000000e-09,1.000000000000e+00,7.219126772375e+04
2.220000000000e-09,1.000000000000e+00,7.212726907155e+04
2.230000000000e-09,1.000000000000e+00,7.206229319008e+04
